Description,Location,Founded Year,Stage,Employee Count,Sector (Practice Area & Feed),Country,Cohort,Total Funding (USD; In Millions),Valuation (USD; In Millions),Annual Revenue (USD; In Millions),AI_Firm_Status,Age,,,,,,
AI-powered stock market advisor offering personalized investment solutions,Mumbai,2016,Seed,26,FinTech > Investment Tech,India,2016-2020,2.57,11.06,0.21,AI Firm,9,,,,,,
Provider of remotely operated vehicles and unnamed systems for underwater inspections,Kochi,2016,Seed,50,"High Tech > Professional Service Robots,
Aerospace, Maritime and Defense Tech > Maritime Tech,
Environment Tech > Water and Wastewater Management Tech,
Sustainability Tech > Water and Wastewater Management Tech",India,2016-2020,1.99,6.9,0.49,Non-AI Firm,9,,,,,,
Online marketplace for marine transportation,Mumbai,2016,Seed,3,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,0.25,1.55,0,Non-AI Firm,9,,,,,,
Wealth management solution provider,Hyderabad,2016,Seed,21,"Financial Services > Services for Investment Industry,
FinTech > Investment Tech",India,2016-2020,0.92,3.42,0.09,Non-AI Firm,9,,,,,,
Online platform offering business news,Bengaluru,2016,Series B,41,Media & Entertainment > Internet First Media,India,2016-2020,2.34,5.44,1.29,Non-AI Firm,9,,,,,,
Provider of online courses,Lucknow,2016,Seed,13,"EdTech > Continued Learning,
EdTech > K-12 EdTech",India,2016-2020,4.22,9.68,1.45,Non-AI Firm,9,,,,,,\
Brand of peanut butter,Delhi,2016,Seed,18,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,0.82,4.02,0.17,Non-AI Firm,9,,,,,,
Battery swapping network for multi-category electric vehicles,Delhi,2016,Seed,20,"Energy Tech > Energy Storage Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,2.74,9.76,0.51,Non-AI Firm,9,,,,,,
Provider of coworking and managed office spaces with flexible membership options,Gurugram,2016,Seed,11,Real Estate and Construction Tech > Commercial Real Estate Tech,India,2016-2020,1.08,11.87,2.31,Non-AI Firm,9,,,,,,
Provider of an IoT middleware,Bengaluru,2016,Seed,1,High Tech > Internet of Things Infrastructure,India,2016-2020,1.74,0.29,0,Non-AI Firm,9,,,,,,
Provider of water management solution,Mumbai,2016,Series A,141,"Environment Tech > Water and Wastewater Management Tech,
Sustainability Tech > Water and Wastewater Management Tech,
High Tech > Internet of Things Infrastructure",India,2016-2020,2.79,12.05,1.69,Non-AI Firm,9,,,,,,
Provider of an online platform offering test preparation solutions for government examinations,Delhi,2016,Seed,58,EdTech > Test Preparation Tech,India,2016-2020,2.57,3.22,0.79,Non-AI Firm,9,,,,,,
Wealth management platform,"Mumbai,
Thane",2016,Seed,11,FinTech > Investment Tech,"India,
India",2016-2020,0.28,5.56,0.03,Non-AI Firm,9,,,,,,
Learning management system for educational institutions,Hyderabad,2016,Seed,11,"EdTech > K-12 EdTech,
Enterprise Applications > Enterprise Resource Planning",India,2016-2020,0.26,2.09,0.05,Non-AI Firm,9,,,,,,
Platform offering learning and test preparation resources,Bengaluru,2016,Seed,7,"EdTech > K-12 EdTech,
EdTech > Test Preparation Tech",India,2016-2020,1.08,10.87,0.07,Non-AI Firm,9,,,,,,
Mobile-based application providing parent-teacher communication,Lucknow,2016,Seed,1,"EdTech > Pre-K EdTech,
EdTech > K-12 EdTech,
Retail > Mom & Baby Care",India,2016-2020,2.04,11.99,0.97,Non-AI Firm,9,,,,,,
Provider of Edge AI Saas based platform,Bengaluru,2016,Seed,70,"High Tech > Native AI Infrastructure,
Native AI > Native AI Infrastructure,
High Tech > Edge Computing,
Internet of Things - Industry Applications > Edge Computing,
High Tech > Natural Language Processing,
High Tech > Image Recognition,
High Tech > Security & Surveillance Technology",India,2016-2020,9.35,19.86,0.08,AI Firm,9,,,,,,
Online platform offering personalized video messages from celebrities,Hyderabad,2016,Series A,3,"Consumer > Online Gifting,
Retail > Online Gifting",India,2016-2020,3.16,8.06,0,Non-AI Firm,9,,,,,,
"Provider of wealth management platforms, learning management systems, and fintech solutions",Mumbai,2016,Seed,43,"FinTech > Investment Tech,
Financial Services > Asset Management",India,2016-2020,0.26,3.34,0.26,Non-AI Firm,9,,,,,,
Platform offering location based ad solution,Gurugram,2016,Seed,1,Enterprise Applications > AdTech,India,2016-2020,0.1,0.74,0,Non-AI Firm,9,,,,,,
Provider of cold-pressed cooking oils and oil combos,Bengaluru,2016,Seed,43,Food and Agriculture Tech > Online Grocery,India,2016-2020,1.97,8,0.19,Non-AI Firm,9,,,,,,
IoT-enabled energy analytics solution provider,Delhi,2016,Seed,1,"Energy Tech > Energy Efficiency Tech,
Environment Tech > Energy Efficiency Tech,
Sustainability Tech > Energy Efficiency Tech,
High Tech > Internet of Things Infrastructure,
Real Estate and Construction Tech > Facility Management Tech,
High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications,
Enterprise Applications > Vertical Business Intelligence,
Energy Tech > Smart Grid,
Environment Tech > Smart Grid,
Sustainability Tech > Smart Grid",India,2016-2020,0.05,0.12,0.01,Non-AI Firm,9,,,,,,
Manufacturer of single-use bioreactors,Ahmedabad,2016,Series A,43,Life Sciences > Life Sciences Platforms and Tools,India,2016-2020,5.47,3.61,0.91,Non-AI Firm,9,,,,,,
Provider of testing and development services,Bengaluru,2016,Series A,121,"High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones,
Food and Agriculture Tech > Crop Tech",India,2016-2020,7.11,22.87,2.68,Non-AI Firm,9,,,,,,
Subscription fashion for men,Hyderabad,2016,Seed,1,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,0.02,0.25,0,Non-AI Firm,9,,,,,,
"Developer of real estate, construction, and diverse ventures",Mumbai,2016,Seed,17,Food and Agriculture Tech > Crop Tech,India,2016-2020,0.02,0.5,1.17,Non-AI Firm,9,,,,,,
"Provider of special education, autism therapy, and other support services to children",Gurugram,2016,Seed,44,Healthcare > Rehabilitation and Long-Term Care,India,2016-2020,1.15,8.37,1.49,Non-AI Firm,9,,,,,,
Manufacturer of electric two-wheelers,Hyderabad,2016,Seed,11,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,0.04,0.25,0.05,Non-AI Firm,9,,,,,,
Developer of AI-powered wearable smart eyewear for visually impaired navigation and assistance,Ghaziabad,2016,Seed,1,"HealthTech > Assistive Tech,
High Tech > Audio Tech,
High Tech > Wearable Technology,
Internet of Things - Industry Applications > Wearable Technology,
Retail > Consumer Electronics E-Commerce",India,2016-2020,0.01,0.74,0,AI Firm,9,,,,,,
